For nLines = 100000 processing time was 1.03284692764
         2060528 function calls (2060440 primitive calls) in 1.122 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.000    0.000    0.000    0.000 numerictypes.py:157(english_upper)
        9    0.000    0.000    0.000    0.000 core.py:2419(__init__)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      126    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000    0.000    0.000 {posix.uname}
       38    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
      116    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        4    0.000    0.000    0.000    0.000 sre_parse.py:227(isname)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
       21    0.000    0.000    0.000    0.000 {sys._getframe}
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
       14    0.000    0.000    0.000    0.000 numerictypes.py:184(english_capitalize)
        1    0.000    0.000    0.000    0.000 _iotools.py:466(StringConverter)
       60    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
        2    0.000    0.000    0.000    0.000 numeric.py:2320(seterr)
        1    0.000    0.000    0.000    0.000 numerictypes.py:386(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
       19    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 numeric.py:2705(__enter__)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
